                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0888,                0.95974,                 1.3073,                0.79427,                0.72536,                 0.7963,                0.50444,                 1.0262,                0.81892,                 1.2622,              0.0086584,              0.0086584,              0.0086584
                     50,                 1.0751,                0.95024,                 1.2918,                0.81996,                0.72472,                0.80279,                0.51002,                 1.0156,                0.81429,                 1.2452,              0.0086047,              0.0086047,              0.0086047
                     51,                 1.0819,                0.95453,                 1.3019,                 0.8115,                0.74371,                0.79466,                0.50565,                0.98708,                0.81169,                 1.2306,              0.0085502,              0.0085502,              0.0085502
                     52,                 1.0709,                0.94088,                 1.3007,                 0.8043,                0.73739,                0.80319,                0.51148,                 1.0082,                0.79553,                 1.2418,              0.0084948,              0.0084948,              0.0084948
                     53,                  1.062,                0.94024,                 1.2946,                0.81558,                0.72825,                0.81242,                0.51626,                0.98726,                0.78445,                 1.2259,              0.0084385,              0.0084385,              0.0084385
                     54,                 1.0698,                0.94201,                 1.2965,                0.80915,                0.75101,                0.81387,                0.51643,                  1.008,                0.77324,                 1.2429,              0.0083814,              0.0083814,              0.0083814
                     55,                  1.069,                0.93356,                  1.299,                0.81382,                0.76864,                0.82099,                0.53064,                0.97124,                0.77316,                 1.2185,              0.0083235,              0.0083235,              0.0083235
                     56,                 1.0541,                  0.916,                 1.2853,                0.82955,                0.75521,                0.82663,                0.53435,                0.98347,                0.77251,                 1.2245,              0.0082648,              0.0082648,              0.0082648
                     57,                 1.0531,                0.91437,                 1.2853,                0.83146,                0.76798,                0.83251,                0.54632,                0.95432,                 0.7479,                 1.2069,              0.0082052,              0.0082052,              0.0082052
                     58,                 1.0486,                0.91771,                  1.281,                0.82735,                0.77677,                0.83242,                0.54502,                0.97026,                0.74912,                 1.2139,               0.008145,               0.008145,               0.008145
                     59,                  1.044,                0.91113,                 1.2766,                 0.8394,                0.78363,                0.84617,                0.54969,                0.95009,                0.74268,                 1.2023,              0.0080839,              0.0080839,              0.0080839
                     60,                 1.0312,                0.89372,                 1.2709,                0.83197,                0.78767,                 0.8477,                0.54947,                0.95074,                 0.7322,                 1.2001,              0.0080221,              0.0080221,              0.0080221
                     61,                 1.0326,                0.89267,                 1.2664,                0.85466,                 0.7929,                0.84601,                0.56119,                 0.9344,                0.72929,                 1.1889,              0.0079595,              0.0079595,              0.0079595
                     62,                 1.0261,                  0.883,                 1.2666,                 0.8557,                0.77182,                0.84936,                0.56465,                 0.9446,                0.73072,                 1.1883,              0.0078963,              0.0078963,              0.0078963
                     63,                 1.0213,                0.87838,                 1.2617,                0.86397,                0.78849,                 0.8587,                0.57329,                0.92136,                0.70803,                 1.1833,              0.0078323,              0.0078323,              0.0078323
                     64,                 1.0207,                0.87446,                 1.2635,                0.85242,                0.79453,                0.84034,                0.56425,                0.91192,                0.71894,                 1.1746,              0.0077677,              0.0077677,              0.0077677
